date,item_name,quantity_consumed,remaining_stock
2024-01-01,Rice,80,20
2024-01-01,Milk,40,10
2024-11-01,Rice,100,50
2024-11-01,Milk,50,30
2024-11-01,Bread,80,40
2024-11-02,Eggs,120,60
2024-11-02,Sugar,90,20
2024-11-02,Flour,150,100
2024-11-03,Oil,200,50
2024-11-03,Salt,100,30
2024-11-04,Potatoes,80,20
2024-11-04,Tomatoes,120,50
2024-11-04,Onions,90,40
2024-11-05,Lentils,70,30
2024-11-05,Carrots,60,25
2024-11-06,Cucumbers,110,55
2024-11-06,Spinach,80,30
2024-11-06,Apples,100,40
2024-11-07,Bananas,150,70
2024-11-07,Oranges,130,50
2024-11-08,Peas,90,40
2024-11-08,Chili Powder,50,20
2024-11-08,Coriander,70,30
2024-11-09,Tomato Sauce,60,40
2024-11-09,Green Beans,90,50
2024-11-10,Ginger,40,20
2024-11-10,Garlic,70,30
2024-11-10,Cheese,80,40
2024-11-11,Yogurt,90,60
2024-11-11,Butter,60,20
2024-11-12,Chickpeas,100,50
2024-11-12,Pasta,120,60
2024-11-13,Flour,150,100
2024-11-13,Rice,80,30
2024-11-13,Peanut Butter,50,25
2024-11-14,Chicken,200,50
2024-11-14,Fish,180,70
2024-11-14,Salt,90,40
2024-11-15,Pineapple,80,40
2024-11-15,Coconut,60,30
2024-11-16,Oats,110,50
2024-11-16,Chili,40,15
2024-11-17,Pineapple,90,50
2024-11-17,Cucumber,100,40
2024-11-18,Mustard,50,20
2024-11-18,Lemon,120,60
2024-11-19,Tomatoes,150,70
2024-11-19,Carrots,100,50
2024-11-20,Spinach,80,40
2024-11-20,Rice,120,60
2024-11-21,Peas,100,60
2024-11-21,Ginger,60,25
2024-11-22,Green Beans,130,60
2024-11-22,Oil,200,80
2024-11-23,Rice,90,45
2024-11-23,Milk,60,20
2024-11-23,Bread,70,35
2024-11-24,Eggs,110,50
2024-11-24,Sugar,85,30
2024-11-24,Flour,140,80
2024-11-25,Oil,190,70
2024-11-25,Salt,95,25
2024-11-25,Potatoes,75,30
2024-11-26,Tomatoes,115,45
2024-11-26,Onions,85,25
2024-11-26,Lentils,65,35
2024-11-27,Carrots,55,20
2024-11-27,Cucumbers,105,45
2024-11-27,Spinach,75,25
2024-11-28,Apples,95,35
2024-11-28,Bananas,140,55
2024-11-28,Oranges,120,40
2024-11-29,Peas,85,30
2024-11-29,Chili Powder,45,20
2024-11-30,Coriander,65,25
2024-11-30,Tomato Sauce,55,30
2024-12-01,Green Beans,85,45
2024-12-01,Ginger,35,15
2024-12-02,Garlic,65,35
2024-12-02,Cheese,75,40
2024-12-02,Yogurt,85,55
2024-12-03,Butter,55,15
2024-12-03,Chickpeas,90,45
2024-12-04,Pasta,110,60
2024-12-04,Flour,140,80
2024-12-05,Rice,75,35
2024-12-05,Peanut Butter,45,20
2024-12-06,Chicken,190,80
2024-12-06,Fish,160,70
2024-12-06,Salt,85,30
2024-12-07,Pineapple,75,35
2024-12-07,Coconut,55,25
2024-12-08,Oats,100,50
2024-12-08,Chili,35,10
2024-12-09,Pineapple,85,40
2024-12-09,Cucumber,95,35
2024-12-10,Mustard,45,20
2024-12-10,Lemon,110,60
2024-12-11,Tomatoes,140,65
2024-12-11,Carrots,95,40
2024-12-12,Spinach,75,35
2024-12-12,Rice,110,50
2024-12-13,Peas,90,50
2024-12-13,Ginger,55,20
2024-12-14,Green Beans,120,50
2024-12-14,Oil,190,85
