event_id,event_name,start_date,end_date,expected_attendance
1,New Year Celebration,2024-01-01,2024-01-01,300
2,Sports Day,2024-01-05,2024-01-05,150
3,Guest Lecture on AI,2024-01-12,2024-01-12,80
4,Community Service Day,2024-01-20,2024-01-20,100
5,Art Exhibition,2024-01-25,2024-01-26,70
6,Cultural Fest,2024-02-01,2024-02-03,500
7,Science Symposium,2024-02-10,2024-02-10,200
8,Health Camp,2024-02-15,2024-02-15,120
9,Hackathon,2024-02-20,2024-02-21,150
10,Blood Donation Camp,2024-02-25,2024-02-25,180
11,Spring Festival,2024-03-01,2024-03-02,400
12,Job Fair,2024-03-05,2024-03-06,600
13,Workshop on Robotics,2024-03-12,2024-03-12,90
14,Music Concert,2024-03-15,2024-03-15,350
15,Film Screening,2024-03-20,2024-03-20,250
16,Photography Workshop,2024-03-25,2024-03-25,75
17,Alumni Meet,2024-04-01,2024-04-01,200
18,Annual Day,2024-04-05,2024-04-05,500
19,Coding Bootcamp,2024-04-10,2024-04-12,100
20,Career Counseling,2024-04-15,2024-04-15,130
21,Mental Health Awareness,2024-04-20,2024-04-20,150
22,Graduation Ceremony,2024-04-25,2024-04-25,450
23,Yoga Session,2024-05-01,2024-05-01,80
24,Volunteer Orientation,2024-05-05,2024-05-05,60
25,Science Fair,2024-05-10,2024-05-10,300
26,Music Workshop,2024-05-15,2024-05-15,90
27,Leadership Summit,2024-05-20,2024-05-20,250
28,Business Networking,2024-05-25,2024-05-25,120
29,Tech Symposium,2024-06-01,2024-06-01,150
30,Debate Competition,2024-06-05,2024-06-05,75
31,Health Checkup Camp,2024-06-10,2024-06-10,160
32,Guest Lecture on Machine Learning,2024-06-15,2024-06-15,110
33,Chess Tournament,2024-06-20,2024-06-20,50
34,Environmental Awareness,2024-06-25,2024-06-25,140
35,Career Expo,2024-07-01,2024-07-01,350
36,Inter-College Quiz,2024-07-05,2024-07-05,80
37,Sports Tournament,2024-07-10,2024-07-15,400
38,Foreign Language Workshop,2024-07-20,2024-07-20,90
39,Literary Fest,2024-07-25,2024-07-26,120
40,Poetry Slam,2024-08-01,2024-08-01,70
41,Debate Finals,2024-08-05,2024-08-05,85
42,Start-Up Workshop,2024-08-10,2024-08-10,130
43,Student Talent Show,2024-08-15,2024-08-15,300
44,Inter-Department Sports Day,2024-08-20,2024-08-20,150
45,Community Health Camp,2024-08-25,2024-08-25,200
46,Public Speaking Workshop,2024-09-01,2024-09-01,90
47,Science Quiz,2024-09-05,2024-09-05,60
48,Culinary Fest,2024-09-10,2024-09-10,180
49,Coding Contest,2024-09-15,2024-09-15,110
50,Robotics Competition,2024-09-20,2024-09-20,150
51,Tech Expo,2024-09-22,2024-09-24,450
52,Cultural Dance Night,2024-09-26,2024-09-26,300
53,Literature Symposium,2024-09-30,2024-09-30,120
54,Freshers Orientation,2024-10-01,2024-10-01,600
55,Volunteer Drive,2024-10-05,2024-10-05,200
56,Guest Lecture on Cybersecurity,2024-10-10,2024-10-10,100
57,Environment Day Rally,2024-10-12,2024-10-12,250
58,Business Seminar,2024-10-15,2024-10-15,150
59,Creative Writing Workshop,2024-10-18,2024-10-18,80
60,Music Festival,2024-10-20,2024-10-20,500
61,Film Appreciation Workshop,2024-10-25,2024-10-25,120
62,Career Fest,2024-10-28,2024-10-29,400
63,Outdoor Adventure Camp,2024-11-01,2024-11-02,100
64,Stand-Up Comedy Night,2024-11-05,2024-11-05,250
65,Mock Interview Session,2024-11-07,2024-11-07,90
66,AI & ML Symposium,2024-11-10,2024-11-10,200
67,Debate Club Meet,2024-11-15,2024-11-15,75
68,Potluck Party,2024-11-18,2024-11-18,150
69,Annual Blood Drive,2024-11-20,2024-11-20,180
70,Sports Workshop,2024-11-22,2024-11-22,120
71,Math Olympiad,2024-11-25,2024-11-25,85
72,Quiz Show,2024-11-28,2024-11-28,90
73,Cultural Exhibition,2024-12-01,2024-12-01,200
74,Robotics Showcase,2024-12-03,2024-12-03,140
75,Coding Marathon,2024-12-07,2024-12-07,180
76,Science & Tech Fair,2024-12-10,2024-12-12,450
77,Art Workshop,2024-12-15,2024-12-15,75
78,Guitar Lessons,2024-12-18,2024-12-18,60
79,Public Speaking Competition,2024-12-20,2024-12-20,130
80,History Lecture,2024-12-22,2024-12-22,90
81,Campus Clean-Up Day,2024-12-23,2024-12-23,200
82,International Food Fest,2024-12-25,2024-12-25,500
83,Game Development Workshop,2024-12-28,2024-12-28,70
84,Painting Exhibition,2025-01-01,2025-01-01,100
85,Wellness Workshop,2025-01-03,2025-01-03,150
86,Fashion Show,2025-01-05,2025-01-05,250
87,Meditation Session,2025-01-07,2025-01-07,100
88,Career Mentorship,2025-01-10,2025-01-10,110
89,Tech Talk,2025-01-12,2025-01-12,80
90,Film Festival,2025-01-15,2025-01-16,350
91,Job Shadowing Day,2025-01-20,2025-01-20,120
92,Writing Workshop,2025-01-22,2025-01-22,90
93,Product Design Hackathon,2025-01-25,2025-01-25,170
94,Charity Walk,2025-01-27,2025-01-27,400
95,Guest Talk on Mental Health,2025-01-30,2025-01-30,150
96,Literary Club Meet,2025-02-02,2025-02-02,50
97,Spring Sports Day,2025-02-05,2025-02-05,300
98,Volunteer Appreciation Night,2025-02-10,2025-02-10,130
99,Culinary Workshop,2025-02-12,2025-02-12,80
100,Chess Club Finals,2025-02-15,2025-02-15,60
101,Networking Evening,2025-02-17,2025-02-17,150
